freq,ISO 80 phons,ISO alt,JBL660 bass,ISO alt02
31.5,28.8,21.8,5,16.8
40,24.4,20.8,4.5,16
50,20.8,18.8,4,14.8
63,17.5,17.5,3.7,13
80,14.3,14.3,3.5,10.8
100,11.6,11.6,3,9
125,9.2,9.2,2,7.2
160,6.9,6.9,1,5.9
200,5,5,0,5
250,3.4,3.4,0,3.4
315,2,2,0,2
400,0.8,0.8,0,0.8
500,0,0,0,0
630,-0.7,-0.7,0,-0.7
800,-1.2,-1.2,0,-1.2
1000,-0.9,-0.9,0,-0.9
1250,1.6,1.6,0,1.6
1600,2.8,2.8,0,2.8
2000,-0.3,-0.3,0,-0.3
2500,-3,-3,0,-3
3150,-3.8,-3.8,0,-3.8
4000,-2.6,-2.6,0,-2.6
5000,0.7,0.7,0,0.7
6300,5.9,5.9,0,5.9
8000,10.5,10.5,0,10.5
10000,10.8,10.8,0,10.8
12500,4.5,4.5,0,4.5
16000,3.8,3.8,0,3.8
